raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,finished,drops
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,140,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,274,2740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,407,3980,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,407,3010,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,623,4330,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
12,623,3040,3100,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
14,745,3430,3420,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
16,987,5380,3330,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
18,987,4080,3860,1840,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
20,987,3680,3230,2570,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
22,987,2740,3360,2940,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
24,987,680,4770,3200,1150,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
26,987,60,4710,3190,1610,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
28,987,0,4050,3070,2170,570,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,1,7.0
30,987,0,3260,3120,2570,830,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,9,10.0
32,1155,1680,2070,3620,2810,1120,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-250,0,25,13.0
34,1155,1680,860,4170,2910,1480,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-450,0,45,15.0
36,1321,3340,330,4130,2810,1800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-800,0,80,18.0
38,1486,4930,140,3610,2880,2200,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1100,0,110,20.0
40,1568,5030,800,2810,3040,2540,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1460,0,146,23.0
42,1568,4260,1550,1840,3480,2550,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,200,24.0
44,1678,4700,2210,960,3810,2560,2540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2540,0,254,28.0
46,1788,4320,3630,580,3520,2600,3230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3230,0,323,30.0
48,1898,4170,4590,580,3120,2700,3820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3820,0,382,30.0
