raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,finished,drops
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,24,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,48,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,89,870,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,148,1270,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,148,1060,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,196,1230,710,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,244,1340,1020,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16,268,1240,1160,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,297,1430,1130,390,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,355,1580,1230,670,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,412,1710,1350,850,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,412,1490,1310,990,300,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,412,1230,1390,1020,410,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,412,720,1650,1010,630,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,412,160,1780,1130,790,230,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,0,3,1.0
32,484,720,1640,1240,910,260,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,7,2.0
34,555,1430,1400,1270,940,400,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-110,0,11,3.0
36,576,1640,1080,1390,920,520,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-210,0,21,5.0
38,618,2040,570,1630,980,670,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-290,0,29,6.0
40,659,1990,730,1550,1120,780,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,0,42,7.0
42,700,1910,1060,1460,1170,830,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-570,0,57,8.0
44,700,1480,1400,1300,1220,830,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-770,0,77,9.0
46,721,1330,1740,920,1450,830,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-940,0,94,9.0
48,762,1300,1960,760,1520,930,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1150,0,115,9.0
50,803,1280,2040,900,1360,1090,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1360,0,136,10.0
52,844,1510,1920,1070,1280,1070,1590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1590,0,159,11.0
54,885,1790,1670,1330,1020,1330,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1710,0,171,11.0
56,897,1750,1450,1560,930,1330,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1950,0,195,11.0
58,920,1630,1370,1750,860,1320,2270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2270,0,227,11.0
60,943,1420,1410,1820,1040,1190,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2550,0,255,12.0
62,966,1190,1640,1820,1070,1110,2830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2830,0,283,12.0
64,989,1070,1860,1630,1290,930,3110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3110,0,311,12.0
66,1000,1020,1820,1470,1420,940,3330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3330,0,333,12.0
68,1000,810,1800,1360,1460,980,3590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3590,0,359,12.0
70,1000,650,1550,1330,1620,1070,3780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3780,0,378,12.0
72,1000,420,1350,1510,1640,1150,3930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3930,0,393,12.0
74,1000,200,1250,1640,1660,1180,4070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4070,0,407,12.0
76,1000,110,1040,1750,1510,1310,4280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4280,0,428,12.0
78,1000,20,950,1720,1430,1250,4630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4630,0,463,12.0
80,1000,0,740,1650,1350,1370,4890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4890,0,489,12.0
82,1000,0,600,1420,1440,1420,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5120,0,512,12.0
84,1000,0,420,1280,1540,1450,5310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5310,0,531,12.0
86,1000,0,210,1200,1560,1440,5590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5590,0,559,12.0
88,1000,0,130,1000,1620,1430,5820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5820,0,582,12.0
90,1000,0,100,820,1590,1380,6110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6110,0,611,12.0
92,1000,0,60,660,1520,1310,6450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6450,0,645,12.0
94,1000,0,30,540,1330,1470,6630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6630,0,663,12.0
96,1000,0,0,420,1210,1390,6980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6980,0,698,12.0
98,1000,0,0,260,1140,1420,7180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7180,0,718,12.0
100,1000,0,0,180,990,1390,7440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7440,0,744,12.0
102,1000,0,0,120,760,1460,7660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7660,0,766,12.0
104,1000,0,0,110,670,1260,7960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7960,0,796,12.0
106,1000,0,0,90,500,1230,8180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8180,0,818,12.0
108,1000,0,0,60,400,1050,8490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8490,0,849,12.0
110,1000,0,0,20,280,1050,8650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8650,0,865,12.0
112,1000,0,0,20,240,930,8810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8810,0,881,12.0
114,1000,0,0,10,170,740,9080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9080,0,908,12.0
116,1000,0,0,0,120,650,9230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9230,0,923,12.0
118,1000,0,0,0,110,500,9390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9390,0,939,12.0
120,1000,0,0,0,100,400,9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9500,0,950,12.0
122,1000,0,0,0,80,250,9670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9670,0,967,12.0
124,1000,0,0,0,70,220,9710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9710,0,971,12.0
126,1000,0,0,0,40,210,9750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9750,0,975,12.0
128,1000,0,0,0,20,170,9810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9810,0,981,12.0
130,1000,0,0,0,20,130,9850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9850,0,985,12.0
132,1000,0,0,0,10,100,9890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9890,0,989,12.0
134,1000,0,0,0,0,100,9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,0,990,12.0
136,1000,0,0,0,0,100,9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,0,990,12.0
138,1000,0,0,0,0,80,9920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9920,0,992,12.0
140,1000,0,0,0,0,70,9930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9930,0,993,12.0
142,1000,0,0,0,0,50,9950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9950,0,995,12.0
144,1000,0,0,0,0,30,9970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9970,0,997,12.0
146,1000,0,0,0,0,20,9980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9980,0,998,12.0
148,1000,0,0,0,0,20,9980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9980,0,998,12.0
150,1000,0,0,0,0,10,9990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9990,0,999,12.0
152,1000,0,0,0,0,10,9990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9990,0,999,12.0
154,1000,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10000,0,1000,12.0
156,1000,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10000,0,1000,12.0
