CORRAL	PERCENTAGE	CUMULATIVE	NUMBER
PUSH-RIM	0.001254643	0	 51 
AWD START	0.000738026	0.001254643	 30 
ELITE	0.001377648	0.001992669	 56 
AMERICAN DEV	0.00548599	0.003370317	 223 
CORRAL A	0.042682477	0.008856306	 1,735 
CORRAL B	0.080543187	0.051538783	 3,274 
CORRAL C	0.074245369	0.13208197	 3,018 
CORRAL D	0.070210829	0.206327339	 2,854 
CORRAL E	0.112967109	0.276538168	 4,592 
CORRAL F	0.179856823	0.389505277	 7,311 
CORRAL G	0.185810229	0.5693621	 7,553 
CORRAL H	0.095402101	0.755172329	 3,878 
CORRAL J	0.091244557	0.85057443	 3,709 
CORRAL K	0.058181013	0.941818987	 2,365 
