0	39	0	0	0	0	0	0	0	0	0
10	14410	1	0	0	0	0	0	0	0	0
20	15136	459	0	0	0	0	0	0	0	0
30	17073	6509	19	0	0	0	0	0	0	0
40	25293	12565	452	0	0	0	0	0	0	0
50	34396	15580	3728	60	0	0	0	0	0	0
60	41418	17809	8857	552	14	0	0	0	0	0
70	41418	25395	14162	2953	115	0	0	0	0	0
80	41418	32475	15584	6823	640	42	0	0	0	0
90	41418	37593	18648	10563	2118	147	11	0	0	0
100	41418	41056	24505	14347	4760	601	46	0	0	0
110	41418	41294	29636	15869	8088	1826	161	17	0	0
120	41418	41303	34654	19697	11757	3737	534	77	5	0
130	41418	41303	38184	31601	14161	6121	1466	160	25	6
140	41418	41303	39652	27458	16317	8704	2595	475	76	36
150	41418	41303	40910	32232	20060	11878	4771	1364	193	102
160	41418	41303	41230	35464	23444	14331	7419	2392	437	196
170	41418	41303	41232	38515	27109	16529	9894	3745	1034	453
180	41418	41303	41232	40036	30849	19460	12344	5629	1850	1055
190	41418	41303	41232	40854	33929	22448	14147	7692	2856	1789
200	41418	41303	41232	41118	36333	25533	16163	9967	4169	2692
210	41418	41303	41232	41436	38403	28717	18823	12043	5896	3987
220	41418	41303	41232	41457	39731	31840	21663	13912	7861	5671
230	41418	41303	41232	41459	40546	34194	24331	15784	9782	7390
240	41418	41303	41232	41459	41098	36312	27214	18237	11843	9503
250	41418	41303	41232	41459	41244	37804	29700	20402	13269	11196
260	41418	41303	41232	41459	41326	38878	31979	22689	15101	12722
270	41418	41303	41232	41459	41342	39369	33278	24278	16332	13859
280	41418	41303	41232	41459	41342	39995	35044	26858	19079	15784
290	41418	41303	41232	41459	41342	40767	36531	29699	21202	17685
300	41418	41303	41232	41459	41342	40884	37660	31890	23545	19836
310	41418	41303	41232	41459	41342	40955	38954	33501	25649	21971
320	41418	41303	41232	41459	41342	40739	39476	34711	27375	24088
330	41418	41303	41232	41459	41342	40739	39904	35536	29270	26017
340	41418	41303	41232	41459	41342	40739	40365	37362	31383	28284
350	41418	41303	41232	41459	41342	40739	40475	38127	32704	29807
360	41418	41303	41232	41459	41342	40739	40489	38801	34048	31468
370	41418	41303	41232	41459	41342	40739	40489	39423	35558	33062
380	41418	41303	41232	41459	41342	40739	40489	39798	36431	34090
390	41418	41303	41232	41459	41342	40739	40489	40211	37384	35385
400	41418	41303	41232	41459	41342	40739	40489	40279	38134	36364
410	41418	41303	41232	41459	41342	40739	40489	40333	38745	37199
420	41418	41303	41232	41459	41342	40739	40489	40333	39000	37924
430	41418	41303	41232	41459	41342	40739	40489	40333	39480	38538
440	41418	41303	41232	41459	41342	40739	40489	40333	39486	39049
450	41418	41303	41232	41459	41342	40739	40489	40333	39996	39876
460	41418	41303	41232	41459	41342	40739	40489	40333	40598	40405
470	41418	41303	41232	41459	41342	40739	40489	40333	40497	40437
480	41418	41303	41232	41459	41342	40739	40489	40333	40503	40443
490	41418	41303	41232	41459	41342	40739	40489	40333	40503	40443
500	41418	41303	41232	41459	41342	40739	40489	40333	40503	40443
510	41418	41303	41232	41459	41342	40739	40489	40333	40503	40443
