MIN,K0,K5,K10,K15,K20,K25,K30,K35,K40,FINISHED
0,0,0,0,0,0,0,0,0,0,0
10,11320,0,0,0,0,0,0,0,0,0
20,17320,0,0,0,0,0,0,0,0,0
30,17320,3840,0,0,0,0,0,0,0,0
40,27040,10880,0,0,0,0,0,0,0,0
50,35120,16720,1320,0,0,0,0,0,0,0
60,41400,17360,4800,0,0,0,0,0,0,0
70,41400,23320,10160,840,0,0,0,0,0,0
80,41400,30720,15280,2640,0,0,0,0,0,0
90,41400,36640,17280,5720,480,0,0,0,0,0
100,41360,40480,21160,10120,1560,0,0,0,0,0
110,41360,41320,26960,14000,3520,240,0,0,0,0
120,41360,41360,31760,16920,6240,1040,0,0,0,0
130,41160,41160,35880,19960,9720,2280,200,0,0,0
140,41160,41160,39240,24400,13000,3760,680,0,0,0
150,41160,41160,40600,28760,16080,6440,1520,120,0,0
160,41080,41080,41000,32400,18600,9280,2600,480,0,0
170,41000,41000,40960,35400,22040,12240,3920,1040,120,0
180,41000,41000,41000,37960,25920,14920,6400,1760,240,120
190,40880,40880,40880,39560,29240,17480,8680,2840,720,240
200,40880,40880,40880,40400,32480,20080,11120,3960,1240,680
210,40880,40880,40880,40680,34840,23400,13440,6040,2080,1160
220,40760,40760,40760,40720,36920,26600,15840,8160,2920,1760
230,40680,40680,40680,40640,38680,29160,18480,9880,3840,2600
240,40680,40680,40680,40680,39560,31840,21120,12560,5480,3640
250,40560,40560,40560,40560,40000,33720,23600,14200,7440,4480
260,40560,40560,40560,40560,40320,35920,26560,16640,9200,6720
270,40560,40560,40560,40560,40440,37240,28760,19040,11040,8400
280,40480,40480,40480,40480,40440,38520,31000,21480,13080,9800
290,40480,40480,40480,40480,40440,39240,32840,23360,14840,12040
300,40480,40480,40480,40480,40440,39680,34360,26080,16840,13520
310,40360,40360,40360,40360,40360,39960,35920,27880,19080,15400
320,40320,40320,40320,40320,40320,40080,36920,29920,21360,17240
330,40320,40320,40320,40320,40320,40200,38240,31840,22960,19480
340,40240,40240,40240,40240,40240,40200,38680,32960,25280,21440
350,40240,40240,40240,40240,40240,40200,39240,34280,26920,23120
360,40240,40240,40240,40240,40240,40200,39520,35760,28640,25360
370,40200,40200,40200,40200,40200,40160,39800,36480,30360,26880
380,40200,40200,40200,40200,40200,40200,39960,37600,31840,28520
390,40200,40200,40200,40200,40200,40200,40040,38320,32960,30000
400,40200,40200,40200,40200,40200,40200,40080,38720,34080,31560
410,40200,40200,40200,40200,40200,40200,40160,39200,35440,32640
420,40200,40200,40200,40200,40200,40200,40160,39440,36080,33520
430,40200,40200,40200,40200,40200,40200,40160,39800,37000,34760
440,40200,40200,40200,40200,40200,40200,40160,39880,37800,35680
450,40200,40200,40200,40200,40200,40200,40200,40000,38400,36480
460,40200,40200,40200,40200,40200,40200,40200,40040,38680,37400
470,40200,40200,40200,40200,40200,40200,40200,40080,39080,38000
480,40200,40200,40200,40200,40200,40200,40200,40120,39360,38440
490,40200,40200,40200,40200,40200,40200,40200,40160,39640,38720
