Name,Longitude,Latitude,RaceKM,Status
AS 1,-87.62736229,41.88392463,2.6,green
AS 2,-87.62942231,41.89117242,5.2,red
AS 3,-87.63345826,41.91638896,8.1,green
AS 4,-87.6328202,41.92549468,9.3,yellow
AS 5,-87.6438161,41.9415331,12,green
AS 6,-87.63925679,41.92341099,15,green
AS 7,-87.63503277,41.9071829,17,green
AS 8,-87.63355612,41.89105978,19,green
AS 9,-87.63488341,41.88313834,20,green
AS 10,-87.65615961,41.87892449,22.4,green
AS 11,-87.67129521,41.87601012,24.6,yellow
AS 12,-87.65003619,41.87740682,26.3,green
AS 13,-87.65625342,41.86935366,28.5,green
AS 14,-87.66019039,41.85749757,30.9,green
AS 15,-87.64589533,41.85438786,32.4,green
AS 16,-87.64127413,41.84853382,33.6,green
AS 17,-87.63088368,41.84051311,35.9,green
AS 18,-87.62256841,41.83239237,37.8,green
AS 19,-87.62289211,41.84313136,38.8,green
AS 20,-87.62266411,41.85792682,40.6,green
