Name,Longitude,Latitude
node36,-87.63872956,41.93240483
node37,-87.63912366,41.9327572
node38,-87.63926703,41.93305734
node39,-87.63943498,41.93720384
node40,-87.63960293,41.94135035
node41,-87.64070036,41.94368593
node42,-87.64346281,41.94854802
node43,-87.64717195,41.9472854
node44,-87.64624386,41.94568272
node45,-87.64451721,41.9427039
node46,-87.64440594,41.93860344
node47,-87.64429466,41.93450298
node48,-87.64463436,41.93375998
node49,-87.64489477,41.93291633
node50,-87.6448795,41.93253439
node51,-87.64460227,41.93189267
node52,-87.64358147,41.93019054
node53,-87.64293708,41.92962999
node54,-87.640665,41.92583136
