Name,Longitude,Latitude
node68,-87.6352989,41.87942395
node69,-87.64560176,41.87924472
node70,-87.65590462,41.87906548
node71,-87.66620747,41.87888625
node72,-87.67651033,41.87870701
node73,-87.6764514,41.87622905
node74,-87.67233866,41.876309
node75,-87.67065008,41.87751221
node76,-87.65897921,41.87771459
node77,-87.64730835,41.87791697
node78,-87.64710012,41.86967399
node79,-87.65670299,41.86944553
node80,-87.66630586,41.86921707
node81,-87.66619772,41.8635316
node82,-87.66608958,41.85784614
node83,-87.65641987,41.8579452
node84,-87.64675015,41.85804427
node85,-87.6465519,41.85269965
node86,-87.64635365,41.84735503
node87,-87.64300298,41.84867073
node88,-87.641025,41.84957669
node89,-87.63955466,41.85046762
node90,-87.63500433,41.85268539
node91,-87.63204404,41.85271282
node92,-87.63196887,41.84814485
node93,-87.63218365,41.84756183
node94,-87.63217954,41.8468969
node95,-87.63188573,41.84543532
node96,-87.63174164,41.8400457
node97,-87.63159754,41.83465607
node98,-87.62679373,41.8346486
node99,-87.62652167,41.83456048
node100,-87.62644969,41.83139803
node101,-87.62632125,41.83118353
node102,-87.62488522,41.83107618
node103,-87.62406616,41.83107797
node104,-87.62334027,41.83110057
node105,-87.62333512,41.8344178
node106,-87.62351712,41.84089266
node107,-87.62369912,41.84736751
node108,-87.62381448,41.85400828
node109,-87.62392984,41.86064904
node110,-87.6240452,41.86728981
node111,-87.62397303,41.86747767
node112,-87.62057661,41.8676170
