Name,Latitude,Longitude
h84,41.89174,-87.62417
h85,41.89174,-87.62426
h86,41.89174,-87.62434
h87,41.89173,-87.62478
h88,41.89172000000001,-87.62538
h89,41.89172000000001,-87.62556
h90,41.89171,-87.62583
h91,41.89171,-87.62593
h92,41.89171,-87.62604
h93,41.89171,-87.62607
h94,41.89171,-87.62615
h95,41.8917,-87.62623
h96,41.8917,-87.62638
h97,41.8917,-87.62648
h98,41.89169,-87.62672
h99,41.89168,-87.62751000000002
h100,41.89167,-87.62787
h101,41.89167,-87.62807
h102,41.89136,-87.62806
h103,41.89125,-87.62805
h104,41.89088,-87.62804
h105,41.89051,-87.62803
h106,41.89007,-87.62801
h107,41.88972,-87.628
h108,41.88926,-87.62798
h109,41.88889,-87.62798
h110,41.88878,-87.62807
h111,41.88877,-87.62807
h112,41.88844,-87.62809
h113,41.88783,-87.62808
h114,41.88748,-87.62807
h115,41.88714,-87.62805
h116,41.88708,-87.62805
h117,41.88703,-87.62805
h118,41.88695,-87.62805
h119,41.88686,-87.62806
h120,41.88683,-87.62806
h121,41.88681,-87.62806
h122,41.88665000000001,-87.62806
h123,41.8863,-87.62804
h124,41.88577,-87.62802
h125,41.88565,-87.62793
h126,41.88509,-87.6279
h127,41.88477,-87.6279
h128,41.88449,-87.6279
h129,41.88427,-87.62789
h130,41.88389,-87.62787
h131,41.88386,-87.62787
h132,41.88382,-87.62787
h133,41.88368,-87.62786000000001
h134,41.8835,-87.62785
h135,41.88341,-87.62785
h136,41.883230000000005,-87.62785
h137,41.88257,-87.62782
h138,41.88206,-87.62782
h139,41.88149,-87.6278
h140,41.8813,-87.62779
h141,41.88072,-87.62776
h142,41.8806,-87.62776
h143,41.88053,-87.62775
h144,41.88048,-87.62775
h145,41.88031,-87.62774
h146,41.88025,-87.62774
h147,41.8802,-87.62774
h148,41.88013,-87.62773
h149,41.88006,-87.62773
h150,41.88004,-87.62773
h151,41.87998,-87.62773
h152,41.87946,-87.62771
h153,41.87883,-87.62769
h154,41.87819,-87.62768
