time,start,x5K,x10K,x15K,half,x25K,x30K,x35K,x40K,finish,runnersOnCourse
7:30 AM,39,0,0,0,0,0,0,0,0,0,39
7:40 AM,14410,1,0,0,0,0,0,0,0,0,14410
7:50 AM,15136,459,0,0,0,0,0,0,0,0,15136
8:00 AM,17073,6509,19,0,0,0,0,0,0,0,17073
8:10 AM,25293,12565,452,0,0,0,0,0,0,0,25293
8:20 AM,34396,15580,3728,60,0,0,0,0,0,0,34396
8:30 AM,41418,17809,8857,552,14,0,0,0,0,0,41418
8:40 AM,41418,25395,14162,2953,115,0,0,0,0,0,41418
8:50 AM,41418,32475,15584,6823,640,42,0,0,0,0,41418
9:00 AM,0,37593,18648,10563,2118,147,11,0,0,0,37593
9:10 AM,0,41056,24505,14347,4760,601,46,0,0,0,41056
9:20 AM,0,41294,29636,15869,8088,1826,161,17,0,0,41294
9:30 AM,0,41303,34654,19697,11757,3737,534,77,5,0,41303
9:40 AM,0,0,38184,31601,14161,6121,1466,160,25,6,38178
9:50 AM,0,0,39652,27458,16317,8704,2595,475,76,36,39616
10:00 AM,0,0,40910,32232,20060,11878,4771,1364,193,102,40808
10:10 AM,0,0,41230,35464,23444,14331,7419,2392,437,196,41034
10:20 AM,0,0,41232,38515,27109,16529,9894,3745,1034,453,40779
10:30 AM,0,0,0,40036,30849,19460,12344,5629,1850,1055,38981
10:40 AM,0,0,0,40854,33929,22448,14147,7692,2856,1789,39065
10:50 AM,0,0,0,41118,36333,25533,16163,9967,4169,2692,38426
11:00 AM,0,0,0,41436,38403,28717,18823,12043,5896,3987,37449
11:10 AM,0,0,0,41457,39731,31840,21663,13912,7861,5671,35786
11:20 AM,0,0,0,41459,40546,34194,24331,15784,9782,7390,34069
11:30 AM,0,0,0,0,41098,36312,27214,18237,11843,9503,31595
11:40 AM,0,0,0,0,41244,37804,29700,20402,13269,11196,30048
11:50 AM,0,0,0,0,41326,38878,31979,22689,15101,12722,28604
12:00 PM,0,0,0,0,41342,39369,33278,24278,16332,13859,27483
12:10 PM,0,0,0,0,0,39995,35044,26858,19079,15784,25382
12:20 PM,0,0,0,0,0,40767,36531,29699,21202,17685,23503
12:30 PM,0,0,0,0,0,40884,37660,31890,23545,19836,21048
12:40 PM,0,0,0,0,0,40955,38954,33501,25649,21971,18984
12:50 PM,0,0,0,0,0,40739,39476,34711,27375,24088,16651
1:00 PM,0,0,0,0,0,0,39904,35536,29270,26017,13887
1:10 PM,0,0,0,0,0,0,40365,37362,31383,28284,12081
1:20 PM,0,0,0,0,0,0,40475,38127,32704,29807,10668
1:30 PM,0,0,0,0,0,0,40489,38801,34048,31468,9021
1:40 PM,0,0,0,0,0,0,0,39423,35558,33062,6361
1:50 PM,0,0,0,0,0,0,0,39798,36431,34090,5708
2:00 PM,0,0,0,0,0,0,0,40211,37384,35385,4826
2:10 PM,0,0,0,0,0,0,0,40279,38134,36364,3915
2:20 PM,0,0,0,0,0,0,0,40333,38745,37199,3134
2:30 PM,0,0,0,0,0,0,0,0,39000,37924,2332
2:40 PM,0,0,0,0,0,0,0,0,39480,38538,1749
2:50 PM,0,0,0,0,0,0,0,0,39486,39049,1244
3:00 PM,0,0,0,0,0,0,0,0,39996,39876,417
3:10 PM,0,0,0,0,0,0,0,0,40598,40405,266
3:20 PM,0,0,0,0,0,0,0,0,40497,40437,95
3:30 PM,0,0,0,0,0,0,0,0,40503,40443,94
