Event,Corral,DropPct
Start,A,-0.001357887
1K,A,-0.000133249
2K,A,-0.000055366
3K,A,-0.000167432
4K,A,-4.92123E-05
5K,A,-0.00028352
6K,A,-0.000557769
7K,A,-0.000403884
Finish,A,-0.000112707
Start,B,-0.001081415
1K,B,-0.000133249
2K,B,-0.000055366
3K,B,-0.000167432
4K,B,-4.92123E-05
5K,B,-0.00028352
6K,B,-0.000557769
7K,B,-0.000403884
Finish,B,-0.000112707
Start,C,-0.001944902
1K,C,-0.000133249
2K,C,-0.000055366
3K,C,-0.000167432
4K,C,-4.92123E-05
5K,C,-0.00028352
6K,C,-0.000557769
7K,C,-0.000403884
Finish,C,-0.000112707
Start,D,-0.002100782
1K,D,-0.000133249
2K,D,-0.000055366
3K,D,-0.000167432
4K,D,-4.92123E-05
5K,D,-0.00028352
6K,D,-0.000557769
7K,D,-0.000403884
Finish,D,-0.000112707
Start,E,-0.002303978
1K,E,-0.000133249
2K,E,-0.000055366
3K,E,-0.000167432
4K,E,-4.92123E-05
5K,E,-0.00028352
6K,E,-0.000557769
7K,E,-0.000403884
Finish,E,-0.000112707
Start,F,-0.002303978
1K,F,-0.000133249
2K,F,-0.000055366
3K,F,-0.000167432
4K,F,-4.92123E-05
5K,F,-0.00028352
6K,F,-0.000557769
7K,F,-0.000403884
Finish,F,-0.000112707
Start,G,-0.002303978
1K,G,-0.000133249
2K,G,-0.000055366
3K,G,-0.000167432
4K,G,-4.92123E-05
5K,G,-0.00028352
6K,G,-0.000557769
7K,G,-0.000403884
Finish,G,-0.000112707
Start,H,-0.002303978
1K,H,-0.000133249
2K,H,-0.000055366
3K,H,-0.000167432
4K,H,-4.92123E-05
5K,H,-0.00028352
6K,H,-0.000557769
7K,H,-0.000403884
Finish,H,-0.000112707
